city_id,households,population,employment
1,3037,6918.95488474386,1138.69196851384
2,43071,109346.98796773,80728.5531165899
3,52813,135151.807468546,29143.8396560469
4,21072,54123.7379547931,74106.415368323
5,30427,68696.4866451057,27411.0346668389
6,24658,63154.6078329571,6429.20984462464
7,63110,163370.011434882,102863.834450793
8,15894,39629.9381925093,74321.1410618515
9,505387,982390.65316283,871244.043254388
10,230,609.318246307676,250.907232146979
11,8875,22398.8883715112,10973.3972269904
12,68472,162274.972752576,112611.416994243
13,93855,213422.808361308,229946.789585641
14,50999,111266.755718526,87541.5576946602
15,49396,111681.230873964,135719.942213149
16,8385,23848.0314364215,7914.04921670787
17,6586,14984.1513243738,7104.16552330558
18,17343,40808.7292699423,15919.3675504856
19,13040,30564.7755356965,10108.1522917841
20,50370,126729.872273149,52645.7104825554
21,25485,72526.6428685624,11055.9880377771
22,25142,55485.3779144208,59223.5686101634
23,28245,68846.5676032784,22247.0362845746
24,251,782.791985693713,64.7729916388719
25,11941,32759.4339499086,2692.51986585934
26,15043,36194.6999220509,9904.15469925686
27,3958,11192.027135133,2819.50344386642
28,17939,40297.1877814752,26052.3253942145
29,68039,177058.852925019,26196.1839725449
30,10319,23730.354082612,23992.9427111347
31,1280,3805.98369309016,2734.55014316428
32,4358,10738.3359323676,5402.09768430242
33,6354,14910.5509230818,2641.02431336207
34,1340,3697.77253083656,720.135602353181
35,3799,9644.06906822111,2186.18999347097
36,2,6.298,0
37,6781,19026.5091768923,7500.48088716129
38,4986,11042.0091249826,1954.93446311794
39,2725,7403.06661451821,1842.62791989167
40,32,79.103941142604,274.183999601469
41,1097,3000.94441169047,801.266360896993
42,11950,33315.593225447,8040.87593472982
43,6531,15862.8057847685,3904.82709062081
44,209,553.985922605052,7.68537401382853
45,36,90.915,216.84816275767
46,1730,5054.52713598437,460.172940145131
47,446,1126.01016706244,84.8296753999752
48,169,415.427321291486,52.0184228917134
49,53652,144475.999691874,28555.1911509869
50,1238,3265.17194331347,426.518364310066
51,124,308.836589009351,22.5391344717673
52,112,220.231089654754,68.0121022208472
53,20615,61391.180515163,4065.17795176835
54,589,1367.51157183715,346.858680374197
55,1190,3164.86178318771,1452.31064456705
57,421,1288.50294740026,66.0151887145733
58,15,37.6549503517543,2.14272432989473
59,148304,334760.924813744,211985.79023209
60,137,330.997,6.35095502709595
61,386,922.372189509181,35.9233391516248
62,37,85.128,1.02906928641575
63,42772,112209.258686844,20953.3350952554
64,9547,22500.5246913963,12697.8723264295
65,25669,57679.6220416023,50763.7393879806
66,6967,16680.5769921911,3028.60977914608
67,8701,22067.5916710652,5289.8665714565
68,10919,29339.3753318564,5131.41185228502
69,12671,30575.9916260288,13375.8147334913
70,13976,32969.2637337957,26780.4782019022
71,5184,11779.5864989324,13057.6676591046
72,1955,5110.1282348399,142.975522316296
73,2628,5934.0283208874,1774.01382725339
74,3326,7193.45225249559,881.786155414826
75,4250,14641.945206518,19597.3294087723
76,10188,24567.0106608573,10448.1111658025
77,6894,13754.3031482772,13042.919769234
78,447,1049.48773448773,395.335587049592
79,40558,89080.2794027085,47219.8047713619
80,22938,51768.0746810053,13307.7430509469
81,3936,8756.1362683686,1509.59753836706
82,876,1810.73833573834,650.807373125619
83,7316,16442.1432917387,18863.0615577467
84,1553,3845.8633958634,2396.44382851461
85,30254,70729.8123234378,47166.9527948945
86,3789,9952.01411816602,2562.7581102697
87,6239,15262.6095160142,3305.63155944865
88,8909,19767.0219940475,24910.6358648201
89,9903,26994.4107446363,6391.86080405008
90,287,807.775372775373,309.85530468824
91,293,839.362674362674,59.2039638746251
92,3126,7652.90195312519,2510.89627660029
93,237,613.924144262626,162.529442432347
94,30027,73241.8768594703,60076.1765558313
95,80020,191070.766878379,182935.980612999
96,2786,7726.80969585829,729.947124541924
97,789,2133.00887959092,213.684585739545
98,24935,54969.4998015058,18502.7545118488
99,1654,4877.58654306021,250.920648580293
100,10312,24474.6783958712,9179.94414170774
101,14235,32974.3230809479,13033.3868841946
102,23009,54040.4165294652,9015.95919073873
103,26121,73880.8900630374,8650.64132802648
104,3414,8775.48083513917,2416.05139550224
105,16644,45894.7693732808,2863.54279258367
106,48371,131582.08117886,39093.5819332443
107,4497,12703.6076220452,1141.91602586465
108,7841,21064.3665945455,8108.6568644548
109,21766,58656.5771617162,11964.3816460684
110,7140,21672.4447289706,15270.2757490057
111,13213,35667.804591585,28984.5365796733
112,5962,14105.2384683811,8806.8295974774
113,17256,47579.7978754504,10230.028285715
114,2934,8829.01910092879,2536.46281705544
115,496,1479.88810590384,112.167487827876
116,819,1986.17429472448,991.603497564626
117,365,906.424490536752,8.37652801447537
118,1915,4814.06137547757,374.322415777624
119,14,30.2194995972824,0.873749797140584
120,9973,24861.197478373,14427.3870221648
121,62,177.381,922.28757275669
122,2672,7955.82506805007,491.56180488611
123,4837,12086.1181507087,5660.57623330882
124,385,1179.9634747968,66.0869624375475
125,1008,2944.22214082776,499.109364720334
126,855,2323.76671878569,464.259636741512
127,6331,19085.575577978,2617.43479094195
128,979,2704.62596253785,814.537422538006
129,3860,9852.30083753957,2883.24161033005
130,474,1106.39122868081,842.893387384238
131,100,231.572550249822,47.4740116168714
132,61,133.75,7746.66060771603
133,368,781.134689850534,11.1191277044809
134,0,0,8332.60704957219
135,353,925.234856742446,32.3216118235686
136,1722,3520.86640035892,130.655879046354
137,213,462.750112508962,66.1574661699911
138,5585,13099.2444382258,1624.83865400299
139,12700,31221.3339768366,24500.5754314437
141,3071,6669.06483965601,2504.26258007
142,22,55,5826.27925366257
150,178,515.886572843623,51.1012829501061
151,3174,9596.05836344182,365.735055496313
152,6,21.4481329137449,0
153,515,1198.42237743229,13.616216604271
154,54,161.62816082749,12.7777595255415
155,120,352.614306420859,19.5502342889689
156,15,48.7814489876778,0
157,204,663.700201,7856.679754561
158,2959,7834.420977306,1918.14492669147
159,899,2428.48572735841,99.4170403014912
160,114,370.577577112805,267.222144015875
161,4,13.215,11.5166708665693
162,1520,3764.8790777,1163.66192931476
163,24,50.5788777289126,0
164,10,49.2557757042683,0
165,828,2447.94694687398,442.955657815283
166,27516,74820.750108918,18601.7764947866
170,4837,14403.5462713489,4995.06859382572
171,6746,20084.4305405316,3255.5037073026
172,2386,5919.16575132792,408.327398526818
173,25309,75319.9232938056,13816.5191713455
